Make,Model,Year,Style,Distance,Engine_capacity(cm3),Fuel_type,Transmission,Price(euro),Distance_by_year,age,eng_cap_diff
6.0,72.0,1997,10.0,210000.0,200.0,3.0,1.0,3500.0,8400.0,27,1771.105376143364
54.0,470.0,2012,4.0,45000.0,1200.0,4.0,1.0,3700.0,4500.0,12,295.6464823241163
55.0,139.0,2015,11.0,165000.0,1599.0,0.0,1.0,6600.0,23571.42857142857,9,42.76606841540115
54.0,744.0,2015,3.0,173000.0,1600.0,0.0,0.0,17000.0,24714.285714285717,9,404.0707277187244
5.0,1.0,1992,10.0,35000.0,2500.0,0.0,1.0,3350.0,1166.6666666666667,32,528.8946238566361
49.0,639.0,1989,10.0,10000.0,2300.0,3.0,1.0,1700.0,303.030303030303,35,328.89462385663614
60.0,467.0,2015,11.0,170000.0,1490.0,0.0,0.0,7599.0,24285.714285714286,9,151.76606841540115
23.0,321.0,2000,4.0,281000.0,1800.0,4.0,1.0,1350.0,12772.727272727272,24,304.3535176758837
55.0,139.0,2011,4.0,200000.0,1300.0,0.0,1.0,5900.0,18181.81818181818,13,195.64648232411628
66.0,672.0,2018,10.0,129000.0,2000.0,4.0,0.0,22500.0,32250.0,6,28.894623856636144
23.0,421.0,2017,3.0,121000.0,1500.0,0.0,1.0,13990.0,24200.0,7,504.0707277187244
60.0,364.0,2012,6.0,207000.0,1464.0,0.0,1.0,7000.0,20700.0,12,339.61906424581
73.0,431.0,2008,9.0,145000.0,2700.0,3.0,0.0,9100.0,10357.142857142857,16,319.2774433935224
49.0,170.0,2012,10.0,206000.0,2200.0,0.0,1.0,14399.0,20600.0,12,228.89462385663612
49.0,735.0,2000,11.0,350000.0,2200.0,0.0,1.0,2150.0,15909.09090909091,24,558.2339315845988
73.0,246.0,2006,11.0,216000.0,1400.0,4.0,1.0,5950.0,13500.0,18,241.76606841540115
49.0,337.0,2017,3.0,128000.0,2200.0,0.0,0.0,26500.0,25600.0,7,195.92927228127564
5.0,123.0,2003,11.0,198000.0,2500.0,0.0,0.0,2500.0,10421.052631578948,21,858.2339315845988
60.0,467.0,2017,11.0,22500.0,1200.0,4.0,1.0,7550.0,4500.0,7,441.7660684154012
73.0,174.0,2017,9.0,129523.0,1800.0,2.0,0.0,16500.0,25904.6,7,580.7225566064776
60.0,409.0,2016,3.0,162000.0,1500.0,0.0,0.0,11800.0,27000.0,8,504.0707277187244
73.0,141.0,2016,11.0,146920.0,1800.0,2.0,0.0,11899.0,24486.666666666668,8,158.23393158459885
76.0,399.0,2012,10.0,123519.0,2000.0,4.0,0.0,8799.0,12351.9,12,28.894623856636144
73.0,545.0,2009,4.0,189000.0,1800.0,2.0,0.0,8200.0,14538.46153846154,15,304.3535176758837
33.0,115.0,2021,10.0,2000.0,1600.0,4.0,0.0,13499.0,2000.0,3,371.1053761433639
49.0,448.0,2002,9.0,278000.0,2700.0,0.0,1.0,8900.0,13900.0,22,319.2774433935224
